sentence,original_label,original_book,book_Anna_Karenina,naive_Anna_Karenina,book_Frankenstein,naive_Frankenstein,book_The_Adventures_of_Alice_in_Wonderland,naive_The_Adventures_of_Alice_in_Wonderland,book_Wuthering_Heights,naive_Wuthering_Heights
"She must have had a warm heart, when she loved her father so, to give so much to me.",2,Wuthering Heights,0,0,1,0,0,0,1,1
"Oh, where are you going, my lord?",1,Anna Karenina,1,1,0,0,0,0,1,0
"Well, I ll come too, then.",1,Anna Karenina,1,1,0,0,1,0,1,0
"She had called him Stiva, and he glanced at her with gratitude, and moved to take her hand, but she drew back from him with aversion.",1,Anna Karenina,1,1,0,0,0,0,1,0
"he had hard work to stir me; but he said it would change if the air blew on it, and so I struck one side of the coffin loose, and covered it up: not Linton s side, damn him!",2,Wuthering Heights,0,0,0,0,0,0,1,1
Here it is!,1,Anna Karenina,1,1,0,0,1,0,1,0
Below this picture was a miniature of William; and my tears flowed when I looked upon it.,3,Frankenstein,0,0,1,1,0,0,0,0
"That _will_ be a queer thing, to be sure!",0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
They re coming!,1,Anna Karenina,1,1,0,0,0,0,1,0
"If I fail, you will see me again soon, or never.",3,Frankenstein,0,0,1,1,0,0,0,0
"Oh, you ll see!",1,Anna Karenina,1,1,1,0,1,0,1,0
"By chance I might have seen her, then everything would have happened of itself; but, as it is, it s out of the question, out of the question!",1,Anna Karenina,1,1,0,0,0,0,1,0
"As he went on talking, his eyes glittered more and more angrily; he was more and more hurried in his replies to imaginary opponents, and his face grew more and more excited and worried.",1,Anna Karenina,1,1,0,0,0,0,1,0
"Preparations were made for the event, congratulatory visits were received, and all wore a smiling appearance.",3,Frankenstein,0,0,1,1,0,0,0,0
There was a quarrel.,1,Anna Karenina,1,1,0,0,0,0,1,0
Poor Hindley!,2,Wuthering Heights,1,0,1,0,0,0,1,1
The stranger has gradually improved in health but is very silent and appears uneasy when anyone except myself enters his cabin.,3,Frankenstein,0,0,1,1,0,0,0,0
My tears flow; my mind is overshadowed by a cloud of disappointment.,3,Frankenstein,1,0,1,1,0,0,1,0
"You may render me the most miserable of men, but you shall never make me base in my own eyes.",3,Frankenstein,0,0,1,1,0,0,0,0
"Good night, my sister.",3,Frankenstein,1,0,1,1,0,0,1,0
"Your affectionate brother, R. Walton Letter 2 _To Mrs. Saville, England._ Archangel, 28th March, 17 .",3,Frankenstein,0,0,1,1,0,0,0,0
"I cannot see him; for God s sake, do not let him enter!",3,Frankenstein,0,0,1,1,0,0,0,0
"And then Mr. Linton, to mend matters, paid us a visit himself on the morrow, and read the young master such a lecture on the road he guided his family, that he was stirred to look about him, in earnest.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"I was compelled to attempt it, because I had succeeded in rousing his rage a pitch above his malignity.",2,Wuthering Heights,0,0,1,0,0,0,1,1
"If her features were criticized separately, she was handsome rather than plain, in spite of the sickly hue of her face.",1,Anna Karenina,1,1,0,0,0,0,1,0
Night was far advanced when I came to the halfway resting-place and seated myself beside the fountain.,3,Frankenstein,0,0,1,1,0,0,0,0
"A sod covers his gentle form, and he knows no pain.",3,Frankenstein,0,0,1,1,0,0,0,0
"She drew a loud breath and snorted out through her tense nostrils, started, pricked up her sharp ear, and put out her strong, black lip towards Vronsky, as though she would nip hold of his sleeve.",1,Anna Karenina,1,1,0,0,0,0,1,0
"Do you, then, really return?",3,Frankenstein,1,0,1,1,0,0,1,0
My anger was greater than my astonishment for a minute.,2,Wuthering Heights,0,0,1,0,0,0,1,1
"I am, that is, he said, going up to her with a radiant smile of happiness.",1,Anna Karenina,1,1,0,0,0,0,1,0
"Boy, you will never see your father again; you must come with me.",3,Frankenstein,0,0,1,1,0,0,0,0
"The spirits of the departed seemed to flit around and to cast a shadow, which was felt but not seen, around the head of the mourner.",3,Frankenstein,0,0,1,1,0,0,0,0
"When I had arrived at this point and had become as well acquainted with the theory and practice of natural philosophy as depended on the lessons of any of the professors at Ingolstadt, my residence there being no longer conducive to my improvements, I thought of returning to my friends and my native town, when an incident happened that protracted my stay.",3,Frankenstein,0,0,1,1,0,0,0,0
And now he stared at her so earnestly that I thought the very intensity of his gaze would bring tears into his eyes; but they burned with anguish: they did not melt.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"Silence, eavesdropper!",2,Wuthering Heights,1,0,0,0,1,0,1,1
"My God, I thank Thee!",1,Anna Karenina,1,1,1,0,0,0,1,0
So that s angel number one?,1,Anna Karenina,1,1,0,0,0,0,1,0
"Come, tell me about her.",1,Anna Karenina,1,1,0,0,0,0,1,0
"They couldn t have done that, you know, Alice gently remarked; they d have been ill.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
Will you leave him to the allurements of the world and the devil?,1,Anna Karenina,1,1,0,0,0,0,1,0
Off Nonsense!,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
"His sister began weeping to go home, and Cathy stood by confounded, blushing for all.",2,Wuthering Heights,0,0,0,0,0,0,1,1
My wife and my sister will never recover from their horror.,3,Frankenstein,0,0,1,1,0,0,0,0
"My father saw this change with pleasure, and he turned his thoughts towards the best method of eradicating the remains of my melancholy, which every now and then would return by fits, and with a devouring blackness overcast the approaching sunshine.",3,Frankenstein,0,0,1,1,0,0,0,0
"I also am unfortunate; I and my family have been condemned, although innocent; judge, therefore, if I do not feel for your misfortunes.",3,Frankenstein,0,0,1,1,0,0,0,0
How must I quit her?,2,Wuthering Heights,0,0,0,0,0,0,1,1
"Yes, here she is.",1,Anna Karenina,1,1,0,0,0,0,1,0
I will hover near and direct the steel aright.,3,Frankenstein,0,0,1,1,0,0,0,0
"You might just as well say, added the Dormouse, who seemed to be talking in his sleep, that I breathe when I sleep is the same thing as I sleep when I breathe !",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Go, say thy prayers, child, and ask God s pardon.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"Come, lads, keep it up!",1,Anna Karenina,1,1,0,0,0,0,1,0
In a minute.,1,Anna Karenina,1,1,0,0,1,0,1,0
No distinct ideas occupied my mind; all was confused.,3,Frankenstein,0,0,1,1,0,0,0,0
"Well, I won t!",1,Anna Karenina,1,1,0,0,1,0,0,0
"It was as though only now, on seeing her smile, he fully grasped what had happened.",1,Anna Karenina,1,1,0,0,0,0,1,0
But how is he now?,1,Anna Karenina,1,1,1,0,0,0,1,0
"What a blank, dreary mind he must have!",2,Wuthering Heights,1,0,0,0,0,0,1,1
Alas!,2,Wuthering Heights,1,0,1,0,1,0,1,1
"Well, and what has he done, consented or not?",1,Anna Karenina,1,1,0,0,1,0,0,0
"Oh, sir!",2,Wuthering Heights,1,0,1,0,1,0,1,1
Here s Yashvin ordering me to drink a pick-me-up.,1,Anna Karenina,1,1,0,0,0,0,0,0
"But she could not help being grateful to him for his attitude to her, and showing that she appreciated it.",1,Anna Karenina,1,1,1,0,0,0,0,0
Generous and self-devoted being!,3,Frankenstein,1,0,1,1,0,0,0,0
Have you passed a good night?,1,Anna Karenina,1,1,0,0,0,0,1,0
There s no pleasing them!,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
But the fact that Sergey Ivanovitch and the princess seemed anxious to get rid of him did not in the least disconcert Stepan Arkadyevitch.,1,Anna Karenina,1,1,0,0,0,0,0,0
Have anything to eat or drink?,1,Anna Karenina,1,1,0,0,1,0,0,0
"I had a persuasion that I should be supposed mad, and this in itself would for ever have chained my tongue.",3,Frankenstein,0,0,1,1,0,0,0,0
I am alone and miserable; man will not associate with me; but one as deformed and horrible as myself would not deny herself to me.,3,Frankenstein,0,0,1,1,0,0,0,0
"Clerval eagerly desired to accept this invitation, and I, although I abhorred society, wished to view again mountains and streams and all the wondrous works with which Nature adorns her chosen dwelling-places.",3,Frankenstein,0,0,1,1,0,0,0,0
"Maman s here, she said, turning to Kitty.",1,Anna Karenina,1,1,0,0,1,0,0,0
My unfortunate guest regards me with the tenderest compassion.,3,Frankenstein,0,0,1,1,0,0,0,0
He s quite mad.,1,Anna Karenina,1,1,0,0,1,0,1,0
"When night came again I found, with pleasure, that the fire gave light as well as heat and that the discovery of this element was useful to me in my food, for I found some of the offals that the travellers had left had been roasted, and tasted much more savoury than the berries I gathered from the trees.",3,Frankenstein,0,0,1,1,0,0,0,0
"I will have one, you cruel wretch!",2,Wuthering Heights,0,0,0,0,0,0,1,1
"Sometimes they were the expressive eyes of Henry, languishing in death, the dark orbs nearly covered by the lids and the long black lashes that fringed them; sometimes it was the watery, clouded eyes of the monster, as I first saw them in my chamber at Ingolstadt.",3,Frankenstein,0,0,1,1,0,0,0,0
"Why, what are _your_ shoes done with?",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
My wanderings were directed towards the valley of Chamounix.,3,Frankenstein,0,0,1,1,0,0,0,0
But your direction was northwards.,3,Frankenstein,0,0,1,1,0,0,0,0
"The ascent is precipitous, but the path is cut into continual and short windings, which enable you to surmount the perpendicularity of the mountain.",3,Frankenstein,0,0,1,1,0,0,0,0
"So she tucked it away under her arm, that it might not escape again, and went back for a little more conversation with her friend.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
Not at all Answer.,2,Wuthering Heights,1,0,0,0,0,0,1,1
Not the same thing a bit!,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
she continued.,2,Wuthering Heights,1,0,0,0,1,0,1,1
"The surprise petrified her an instant: she uttered an inarticulate exclamation, and stood fixed.",2,Wuthering Heights,1,0,0,0,1,0,1,1
"I was a poor, helpless, miserable wretch; I knew, and could distinguish, nothing; but feeling pain invade me on all sides, I sat down and wept.",3,Frankenstein,1,0,1,1,0,0,1,0
"She grew thoughtful, and he became serious.",1,Anna Karenina,1,1,0,0,0,0,1,0
"she said, suddenly, after some minutes reflection.",2,Wuthering Heights,1,0,0,0,1,0,1,1
"I almost wish I hadn t gone down that rabbit-hole and yet and yet it s rather curious, you know, this sort of life!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"These were the verses the White Rabbit read: They told me you had been to her, And mentioned me to him: She gave me a good character, But said I could not swim.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"She lifted a mouthful to her lips: then she set it down again: her cheeks flushed, and the tears gushed over them.",2,Wuthering Heights,1,0,1,0,0,0,1,1
It was nearly noon when I arrived at the top of the ascent.,3,Frankenstein,0,0,1,1,0,0,0,0
"I had before experienced sensations of horror, and I have endeavoured to bestow upon them adequate expressions, but words cannot convey an idea of the heart-sickening despair that I then endured.",3,Frankenstein,0,0,1,1,0,0,1,0
She s fond of you already; and mind you don t grieve her by crying to-night.,2,Wuthering Heights,1,0,0,0,0,0,1,1
Therefore I m mad.,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
It s misery!,1,Anna Karenina,1,1,1,0,0,0,1,0
"Later on, she said.",1,Anna Karenina,1,1,1,0,1,0,1,0
"He got on to the bed, and wrenched open the lattice, bursting, as he pulled at it, into an uncontrollable passion of tears.",2,Wuthering Heights,1,0,0,0,0,0,1,1
Then why do you come?,1,Anna Karenina,1,1,0,0,0,0,1,0
Last night I was on the threshold of hell.,2,Wuthering Heights,0,0,0,0,0,0,1,1
"I I m a little girl, said Alice, rather doubtfully, as she remembered the number of changes she had gone through that day.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Oh, damn him!",1,Anna Karenina,1,1,1,0,0,0,1,0
I am very unhappy.,1,Anna Karenina,1,1,0,0,0,0,1,0
"A ghastly grin wrinkled his lips as he gazed on me, where I sat fulfilling the task which he had allotted to me.",3,Frankenstein,0,0,1,1,0,0,0,0
Pray walk in!,1,Anna Karenina,1,1,0,0,0,0,1,0
How did ?,2,Wuthering Heights,1,0,0,0,0,0,1,1
Why didn t I die?,1,Anna Karenina,1,1,1,0,0,0,0,0
You villain!,2,Wuthering Heights,1,0,1,0,0,0,1,1
He won t let a poor devil go nowadays till he s explained it all to him under heads.,1,Anna Karenina,1,1,0,0,0,0,1,0
"The whole village was roused; some fled, some attacked me, until, grievously bruised by stones and many other kinds of missile weapons, I escaped to the open country and fearfully took refuge in a low hovel, quite bare, and making a wretched appearance after the palaces I had beheld in the village.",3,Frankenstein,0,0,1,1,0,0,0,0
Open your mouth.,2,Wuthering Heights,0,0,0,0,1,0,1,1
"My thoughts now became more active, and I longed to discover the motives and feelings of these lovely creatures; I was inquisitive to know why Felix appeared so miserable and Agatha so sad.",3,Frankenstein,0,0,1,1,0,0,0,0
And small loss to his family whenever he drops off.,2,Wuthering Heights,0,0,0,0,0,0,1,1
"Everything s got a moral, if only you can find it.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"What is it, dear one?",1,Anna Karenina,1,1,0,0,1,0,1,0
And she began talking to Kitty.,1,Anna Karenina,1,1,0,0,1,0,0,0
All were silent.,1,Anna Karenina,1,1,0,0,1,0,0,0
said Alice to herself.,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
"That s the judge, she said to herself, because of his great wig.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
But I felt that I had no right to share their intercourse.,3,Frankenstein,0,0,1,1,0,0,0,0
"she panted, and her face grew red with passion.",2,Wuthering Heights,1,0,0,0,0,0,1,1
When will they be here?,2,Wuthering Heights,1,0,0,0,0,0,1,1
"I shall leave you, unless you be quick; so please yourself.",2,Wuthering Heights,1,0,0,0,0,0,1,1
"I might as well have struggled with a bear, or reasoned with a lunatic.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"Death snatches away many blooming children, the only hopes of their doting parents; how many brides and youthful lovers have been one day in the bloom of health and hope, and the next a prey for worms and the decay of the tomb!",3,Frankenstein,0,0,1,1,0,0,0,0
"_Un_important, of course, I meant, the King hastily said, and went on to himself in an undertone, important unimportant unimportant important as if he were trying which word sounded best.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
She was the smile that shed light on all round her.,1,Anna Karenina,1,1,0,0,0,0,1,0
"Yet I fear such will be my fate; the men, unsupported by ideas of glory and honour, can never willingly continue to endure their present hardships.",3,Frankenstein,0,0,1,1,0,0,0,0
"But my toils now drew near a close, and in two months from this time I reached the environs of Geneva.",3,Frankenstein,0,0,1,1,0,0,0,0
"Send to Sury, to Tchefirovka; if they don t come we must look for them.",1,Anna Karenina,1,1,0,0,0,0,0,0
Is the room to be got ready upstairs?,1,Anna Karenina,1,1,0,0,0,0,1,0
"You _must_ remember, remarked the King, or I ll have you executed.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I walked and, I believe, descended, but I presently found a great alteration in my sensations.",3,Frankenstein,0,0,1,1,0,0,0,0
"Let me go, or I will tell my papa.",3,Frankenstein,0,0,1,1,0,0,1,0
"If she is condemned, I never shall know joy more.",3,Frankenstein,0,0,1,1,0,0,0,0
"And now, dear Margaret, do I not deserve to accomplish some great purpose?",3,Frankenstein,0,0,1,1,0,0,0,0
"He approached with timidity, but again her smile reassured him.",1,Anna Karenina,1,1,0,0,0,0,1,0
"said Dolly, laughing.",1,Anna Karenina,1,1,0,0,0,0,1,0
I have come to tell you that this must end.,1,Anna Karenina,1,1,1,0,0,0,0,0
The White Rabbit put on his spectacles.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Only he could not make up his mind whether it was unintelligible because he was not capable of expressing his meaning clearly, or because his brother would not or could not understand him.",1,Anna Karenina,1,1,0,0,0,0,1,0
"Now, then!",2,Wuthering Heights,1,0,1,0,1,0,1,1
"Devil, cease; and do not poison the air with these sounds of malice.",3,Frankenstein,0,0,1,1,0,0,1,0
"Soo oop of the e e evening, Beautiful, beautiful Soup!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
pleaded Alice.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Yes, said Alice, we learned French and music.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
Let me in; go away!,1,Anna Karenina,1,1,1,0,0,0,1,0
What do you say?,2,Wuthering Heights,1,0,0,0,0,0,1,1
"she returned, laughing.",2,Wuthering Heights,1,0,0,0,0,0,1,1
"His design was to visit India, in the belief that he had in his knowledge of its various languages, and in the views he had taken of its society, the means of materially assisting the progress of European colonization and trade.",3,Frankenstein,0,0,1,1,0,0,0,0
he s mad to speak so!,2,Wuthering Heights,1,0,0,0,0,0,1,1
Explain yourself!,0,The Adventures of Alice in Wonderland,1,0,1,0,1,1,1,0
It would be the best thing that could be.,1,Anna Karenina,1,1,0,0,0,0,0,0
I will not stay here.,1,Anna Karenina,1,1,0,0,0,0,1,0
Were you asked?,2,Wuthering Heights,1,0,0,0,0,0,1,1
"My dear Victor, do not speak thus.",3,Frankenstein,0,0,1,1,0,0,0,0
"Yes, home, she said, not even thinking now where she was going.",1,Anna Karenina,1,1,0,0,0,0,1,0
I must absent myself from all I loved while thus employed.,3,Frankenstein,0,0,1,1,0,0,0,0
She took his hand.,1,Anna Karenina,1,1,0,0,0,0,1,0
"Stay one minute, I began.",2,Wuthering Heights,1,0,0,0,0,0,1,1
"Digging for apples, indeed!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"No, it is awful!",1,Anna Karenina,1,1,0,0,0,0,1,0
"A gigantic monster, they said, had arrived the night before, armed with a gun and many pistols, putting to flight the inhabitants of a solitary cottage through fear of his terrific appearance.",3,Frankenstein,0,0,1,1,0,0,0,0
Who Stole the Tarts?,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
They are waiting on the shingle will you come and join the dance?,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
She scornfully withdrew.,2,Wuthering Heights,1,0,0,0,0,0,1,1
It was she.,1,Anna Karenina,1,1,0,0,1,0,1,0
Look!,2,Wuthering Heights,1,0,0,0,1,0,1,1
Both morally and physically she had changed for the worse.,1,Anna Karenina,1,1,0,0,0,0,1,0
Stupid things!,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
"I ve a right to think, said Alice sharply, for she was beginning to feel a little worried.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Let me alone, and I ll plan it out: while I m thinking of that I don t feel pain.",2,Wuthering Heights,0,0,0,0,0,0,1,1
It will be ten times blacker with that guest than ever it was before!,2,Wuthering Heights,0,0,0,0,0,0,1,1
Mr. Linton walked to a window on the other side of the room that overlooked the court.,2,Wuthering Heights,0,0,0,0,0,0,1,1
But what sort of a man was he?,1,Anna Karenina,1,1,0,0,0,0,1,0
Don t put faith in a single word he speaks.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"Alice began in a loud, indignant voice, but she stopped hastily, for the White Rabbit cried out, Silence in the court!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I cried, though rather uneasy myself.",2,Wuthering Heights,1,0,1,0,0,0,1,1
"a monster, and not a human being!",2,Wuthering Heights,0,0,1,0,0,0,1,1
"Very well, she said all at once.",1,Anna Karenina,1,1,0,0,0,0,1,0
What is that?,2,Wuthering Heights,1,0,0,0,1,0,1,1
"No, no!",0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
"I let someone in, your excellency!",1,Anna Karenina,1,1,0,0,0,0,1,0
_Nobody_ loves you _nobody_ will cry for you when you die!,2,Wuthering Heights,0,0,0,0,0,0,1,1
"Wait a minute, there s something I want to say to you, and taking his broad hand she pressed it on her neck.",1,Anna Karenina,1,1,0,0,0,0,1,0
"If you do, I ll keep you.",2,Wuthering Heights,1,0,0,0,0,0,1,1
"On her return, at about nine o clock, she met a man who asked her if she had seen anything of the child who was lost.",3,Frankenstein,0,0,1,1,0,0,0,0
"Very much indeed, said Alice.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"The Lobster Quadrille The Mock Turtle sighed deeply, and drew the back of one flapper across his eyes.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I am very sorry you weren t there, she said.",1,Anna Karenina,1,1,0,0,0,0,1,0
"The Queen s Croquet-Ground A large rose-tree stood near the entrance of the garden: the roses growing on it were white, but there were three gardeners at it, busily painting them red.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"There you are, at your idle tricks again!",2,Wuthering Heights,1,0,0,0,0,0,1,1
"As soon as she had said it, she felt that however warm his feelings were to her, he had not forgiven her for that.",1,Anna Karenina,1,1,0,0,0,0,1,0
"My aunt conceived a great attachment for her, by which she was induced to give her an education superior to that which she had at first intended.",3,Frankenstein,0,0,1,1,0,0,0,0
"I quickly destroyed part of my sledge to construct oars, and by these means was enabled, with infinite fatigue, to move my ice raft in the direction of your ship.",3,Frankenstein,0,0,1,1,0,0,0,0
Goodness!,1,Anna Karenina,1,1,1,0,1,0,1,0
she greeted him joyfully.,1,Anna Karenina,1,1,0,0,0,0,1,0
"During the day I was sustained and inspirited by the hope of night, for in sleep I saw my friends, my wife, and my beloved country; again I saw the benevolent countenance of my father, heard the silver tones of my Elizabeth s voice, and beheld Clerval enjoying health and youth.",3,Frankenstein,0,0,1,1,0,0,0,0
"And then I bent over her and whispered, Awake, fairest, thy lover is near he who would give his life but to obtain one look of affection from thine eyes; my beloved, awake!",3,Frankenstein,0,0,1,1,0,0,0,0
"Covered with ice, it was only to be distinguished from land by its superior wildness and ruggedness.",3,Frankenstein,0,0,1,1,0,0,0,0
What did you do?,1,Anna Karenina,1,1,0,0,1,0,0,0
"Before he read the letter, he knew its contents.",1,Anna Karenina,1,1,0,0,0,0,0,0
"Be assured, sir, said he, no pains or exertions on my part shall be spared to discover the villain.",3,Frankenstein,0,0,1,1,0,0,0,0
"My haggard and wild appearance awoke intense alarm, but I answered no question, scarcely did I speak.",3,Frankenstein,0,0,1,1,0,0,0,0
"Hi, wine!",1,Anna Karenina,1,1,0,0,0,0,1,0
The deep grief which this scene had at first excited quickly gave way to rage and despair.,3,Frankenstein,1,0,1,1,0,0,1,0
"But this calm for thought never came; every time the thought rose of what she had done and what would happen to her, and what she ought to do, a horror came over her and she drove those thoughts away.",1,Anna Karenina,1,1,0,0,0,0,1,0
"So strange an accident has happened to us that I cannot forbear recording it, although it is very probable that you will see me before these papers can come into your possession.",3,Frankenstein,0,0,1,1,0,0,0,0
you will exclaim.,3,Frankenstein,1,0,1,1,0,0,0,0
Why are you so red?,1,Anna Karenina,1,1,0,0,0,0,0,0
"When I found so astonishing a power placed within my hands, I hesitated a long time concerning the manner in which I should employ it.",3,Frankenstein,0,0,1,1,0,0,0,0
"he asked all, of a sudden.",1,Anna Karenina,1,1,0,0,1,0,1,0
It required a great deal of labour to satisfy the old man that Heathcliff was not the aggressor; especially with my hardly-wrung replies.,2,Wuthering Heights,0,0,0,0,0,0,1,1
(It was this last remark that had made the whole party look so grave and anxious.),0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I snuffed it off, and, very ill at ease under the influence of cold and lingering nausea, sat up and spread open the injured tome on my knee.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"He was an uncouth man, but deeply imbued in the secrets of his science.",3,Frankenstein,0,0,1,1,0,0,0,0
"Come here, little ones!",1,Anna Karenina,1,1,0,0,0,0,1,0
"I m of the busy world, and to its arms I must return.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"When she again lived, it was only to weep and sigh.",3,Frankenstein,1,0,1,1,1,0,1,0
"A propensity to be saucy was one; and a perverse will, that indulged children invariably acquire, whether they be good tempered or cross.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"Shall I create another like yourself, whose joint wickedness might desolate the world.",3,Frankenstein,0,0,1,1,0,0,0,0
"I saw few human beings besides them, and if any other happened to enter the cottage, their harsh manners and rude gait only enhanced to me the superior accomplishments of my friends.",3,Frankenstein,0,0,1,1,0,0,0,0
Why not possible?,1,Anna Karenina,1,1,0,0,1,0,0,0
"he said, glancing uneasily at her excited face.",1,Anna Karenina,1,1,0,0,0,0,1,0
"Catherine leaned her head and arms on the table, till she heard the slight rustle of the covering being removed; then she stole away, and quietly seated herself beside her cousin.",2,Wuthering Heights,0,0,0,0,0,0,1,1
In a minute; in a minute!,1,Anna Karenina,1,1,0,0,1,0,0,0
"In that case, said the Dodo solemnly, rising to its feet, I move that the meeting adjourn, for the immediate adoption of more energetic remedies Speak English!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"On being charged with the fact, the poor girl confirmed the suspicion in a great measure by her extreme confusion of manner.",3,Frankenstein,1,0,1,1,0,0,0,0
"Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking: Dear, dear!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
whispered my dear little mistress.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"You hate me, but your abhorrence cannot equal that with which I regard myself.",3,Frankenstein,1,0,1,1,0,0,1,0
"thought Kitty, gazing into her serene face.",1,Anna Karenina,1,1,0,0,1,0,0,0
"I could not help being struck by the strange coincidences that had taken place during this eventful night; but, knowing that I had been conversing with several persons in the island I had inhabited about the time that the body had been found, I was perfectly tranquil as to the consequences of the affair.",3,Frankenstein,0,0,1,1,0,0,0,0
"I conjectured, therefore, that he found on the paper signs for speech which he understood, and I ardently longed to comprehend these also; but how was that possible when I did not even understand the sounds for which they stood as signs?",3,Frankenstein,0,0,1,1,0,0,0,0
What!,2,Wuthering Heights,1,0,1,0,1,0,1,1
I d even forgotten that it was at all.,1,Anna Karenina,1,1,0,0,0,0,1,0
"She made no answer, but simply gazed at him.",1,Anna Karenina,1,1,0,0,0,0,1,0
"The feeling of furious anger with his wife, who would not observe the proprieties and keep to the one stipulation he had laid on her, not to receive her lover in her own home, gave him no peace.",1,Anna Karenina,1,1,0,0,0,0,1,0
Wonderful!,1,Anna Karenina,1,1,1,0,1,0,1,0
she panted out.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"she cried, looking with terror at the undisguised hatred in his whole face, and especially in his cruel, menacing eyes.",1,Anna Karenina,1,1,1,0,0,0,1,0
"She was the living spirit of love to soften and attract; I might have become sullen in my study, rough through the ardour of my nature, but that she was there to subdue me to a semblance of her own gentleness.",3,Frankenstein,0,0,1,1,0,0,1,0
"My notion was that you had been (Before she had this fit) An obstacle that came between Him, and ourselves, and it.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"said the Mouse, frowning, but very politely: Did you speak?",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I then moved forward, and a murmuring sound arose from the crowd as they followed and surrounded me, when an ill-looking man approaching tapped me on the shoulder and said, Come, sir, you must follow me to Mr. Kirwin s to give an account of yourself.",3,Frankenstein,0,0,1,1,0,0,0,0
"The thatch had fallen in, the walls were unplastered, and the door was off its hinges.",3,Frankenstein,0,0,1,1,0,0,0,0
The name of the old man was De Lacey.,3,Frankenstein,0,0,1,1,0,0,0,0
"But in dreams, when she had no control over her thoughts, her position presented itself to her in all its hideous nakedness.",1,Anna Karenina,1,1,0,0,0,0,1,0
But since the murderer has been discovered The murderer discovered!,3,Frankenstein,0,0,1,1,0,0,0,0
"In one spot you view rugged hills, ruined castles overlooking tremendous precipices, with the dark Rhine rushing beneath; and on the sudden turn of a promontory, flourishing vineyards with green sloping banks and a meandering river and populous towns occupy the scene.",3,Frankenstein,0,0,1,1,0,0,0,0
What did this mean?,3,Frankenstein,1,0,1,1,0,0,0,0
"William and Justine were assassinated, and the murderer escapes; he walks about the world free, and perhaps respected.",3,Frankenstein,0,0,1,1,0,0,0,0
And in she went.,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
said one of the jurymen.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"She wanted to laugh, and was immediately ashamed that anything could amuse her at such a moment.",1,Anna Karenina,1,1,0,0,0,0,1,0
"Well, well, allow me to kiss your hand.",1,Anna Karenina,1,1,0,0,0,0,1,0
